Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Property Type Order,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
08 - New Business,2023-MSS-COM-00097,BNCNB -  New Other Than Building,,,"2021 CODES/PARTNERS HOPE CENTER/NEW GROUND SIGN
Ground Sign for Partners Hope Center reference permit#2023-MSS-COM-00021",DICK ANDERSON CONSTRUCTION,5000.0,0.0,,,3615 UNION PACIFIC ST,,5000.0,0.0,Business,New Construction,11.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
08 - New Business,2023-MSS-COM-00098,BNCNB -  New Other Than Building,,,2021 CODES/PARTNERS HOPE CENTER/NEW FLAGPOLE/VB/U,DICK ANDERSON CONSTRUCTION,5000.0,0.0,,,3615 UNION PACIFIC ST,,5000.0,0.0,Business,New Construction,11.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00116,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/LIQUID PLANET GRILLE/Interior only remodel of existing restaurant/VB/A-3,WESTERN VISIONC INC,35000.0,0.0,,,2922 BROOKS ST,,35000.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
05 - New MultiFamily,2023-MSS-COM-00121,BNMRB - New Multifamily 5+ Units,,8,2021 CODES/BLDG B/NEW 8-PLEX/VB/R-2,SIRIUS CONSTRUCTION INC,,245045.36,,801124.52,1329 DEFOE ST,MFR-APT,245045.36,556079.16,Multi-Dwelling Apartment,New Construction,99.0,8,08 Data Dump,2023-08-01,August,08,2023,2024
05 - New MultiFamily,2023-MSS-COM-00122,BNMRB - New Multifamily 5+ Units,,6,2021 CODES/BLDG A/NEW 6-PLEX/VB/R-2,SIRIUS CONSTRUCTION INC,,184379.68,,602790.77,1110 BURTON ST,MFR-APT,184379.68,418411.09,Multi-Dwelling Apartment,New Construction,99.0,6,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00199,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/UM NALSA OFFICE/Renovate 2 existing offices for NALSA office/VB/E,SIRIUS CONSTRUCTION INC,72193.0,0.0,,,715 S 06TH ST E,,72193.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00218,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/UNIT 108/Add two walls, additional door to bathroom, remove tub, install new tile shower./VB/R-2",KTM CONTRACTING,9085.0,0.0,,,4100 108 MULLAN RD,,9085.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00225,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/UM PAW PRINTS COPY CENTER/Expansion of Paw Prints copy center in Mansfield library/VB/B/E,D LOWER CONSTRUCTION,38695.0,0.0,,,910 MCLEOD AVE,,38695.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00238,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/MONTANA SWEETGRASS COMPANY/Change of Use Permit.  Restaurant to Mercantile. No renovation work/ CANNABIS DISPENSARY/VB/M,OWNER,1.0,0.0,,,623 W BROADWAY,,1.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00242,BCRRS -  Reroof/Reside Commercial,,,2021 CODES/GET AIR/ REROOF/Doing a Roof Overlay above Get Air. We are going to slice existing roof so that it properly vents and then install insulation recovery board of the existing roof deck to protect the new roof membrane.  This will be a mechanically fastened roofing system using 60mil tpo./SINGLE STORY/VB/A-3,FLYNN BEC LP,215500.0,0.0,,,2501 BROOKS ST  STE A,,215500.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00243,BCRRS -  Reroof/Reside Commercial,,,"2021 CODES/COM BLDG/REROOF/Remove existing roofing material, install 2"" polyiso insulation, 1/4"" densdeck mechanically fastened, 60 mil tpo mechanically fastened, associated sheetmetal flashing and trim, remove debris/PER CODE & LISTING/SINGLE STORY/FLAT/VB/B",MILLER ROOFING INC,110000.0,0.0,,,821 S HIGGINS AVE,,110000.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00246,BCRRS -  Reroof/Reside Commercial,,,CHRISTIAN LIFE CENTER / Removal of old roof and underlayment / replacing with new synthetic underlayment / ice & water shield / metal roofing / INSTALL PER IBC AND LISTING / 6:12 / VB / A,FISHER FAMILY CONSTRUCTION,119698.0,0.0,,,3801 RUSSELL ST,,119698.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00251,BCRRS -  Reroof/Reside Commercial,,,"2021 CODES/4-PLEX/REROOF/Remove existing roofing to bare decking, install new edge metal, install new synthetic underlayment throughout, install new 26ga snap lock roofing metal with trims, install new pipe boots, install new ridge cap and vent./PER IRC & LISTING/TWO STORY/5:12/VB/R-2",DERRICK G SMITH ROOFING LLC,20325.0,0.0,,,1020 4PLX KEMP ST,,20325.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00255,BCRRS -  Reroof/Reside Commercial,,,"COM / to remove old roofing / to replace bad decking and any damaged underlayment as needed / to install 1/2"" R Tech Shield overtop of existing underlayment / to install 60 Mill TPO overtop of R Tech Shield / to install new edge metal and cover tape / INSTALL PER IRC AND LISTING / 1:12 / A-2",ABOVE THE REST ROOFING,38000.0,0.0,,,1101 STRAND AVE,,38000.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
01 - Remodel Commercial,2023-MSS-COM-00258,BCRRS -  Reroof/Reside Commercial,,,Rhoades & Erickson PLLC / Remove existing shingles and dispose / Install new underlayment and Ice & water guard / install arctic seal by malarkey shingles to code/ SLOPED ROOF @ CENTER OF STRUCTURE / INSTALL PER IBC AND LISTING / 5:12 /VB / B,SCHROCK COMMERCIAL ROOFING INC,7400.0,0.0,,,430 RYMAN ST,,7400.0,0.0,Commercial,Addition/Remodel,16.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00049,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/REMODEL/VB/R-3,SCARIANO CONSTRUCTION INC,75000.0,0.0,,,4005 DUNCAN DR,,75000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00055,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,EDGELL BUILDING AND DEVELOPMENT INC,,233908.45,,749290.96,2700 SYCAMORE ST,SFR-DET,233908.45,515382.50999999995,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00070,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE//VB/R-3,HAYDEN HOMES LLC,,85100.7,,301969.48,2545 CONCHO WAY,SFR-DET,85100.7,216868.77999999997,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00087,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3,HAYDEN HOMES LLC,,85855.39,,308858.55,2529 CONCHO WAY,SFR-DET,85855.39,223003.15999999997,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00151,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3,BEAUCHAMP CONSTRUCTION INC,,112112.16,,401684.04,2555 DRAKE LN,SFR-DET,112112.16,289571.88,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00254,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3,STRAIGHT LINE CONSTRUCTION INC,,232048.46,,824874.53,5433 CANYON RIVER RD,SFR-DET,232048.46,592826.0700000001,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00273,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,"BRUNNER HOMES & CONSTRUCTION, INC.",,217841.99,,772268.4,8186 RANCH CLUB RD,SFR-DET,217841.99,554426.41,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00282,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/TOU F/VB/R-3,EBC DEVELOPMENT LLC,,51327.34,,184765.67,1031 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00283,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/TOU G/VB/R-3,EBC DEVELOPMENT LLC,,51327.34,,184765.67,1035 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00284,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GAR/TOU H/VB/R-3,EBC DEVELOPMENT LLC,,51327.34,,184765.67,1039 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00285,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GAR/TOU I/VB/R-3,EBC DEVELOPMENT LLC,,51327.34,,184765.67,1043 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00286,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GAR/TOU J/VB/R-3,EBC DEVELOPMENT LLC,,51327.34,,184765.67,1047 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00287,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GARAGE/TOU A/VB/R-3,SILVERFERN,,51327.34,,184765.67,1003 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00290,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GAR/TOU B/VB/R-3,SILVERFERN,,51327.34,,184765.67,1007 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00291,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GAR/TOU C/VB/R-3,SILVERFERN,,51327.34,,184765.67,1011 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00292,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GAR/TOU D/VB/R-3,SILVERFERN,,51327.34,,184765.67,1015 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00293,,BNSFT - New Single Family Townhouse,TED,2021 CODES/NEW TOWNHOME/ATT GAR/TOU E/VB/R-3,SILVERFERN,,51327.34,,184765.67,1019 KEMP ST,TED SF,51327.34,133438.33000000002,TED Single Dwelling,New Construction,6.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00366,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,HUGHES CONSTRUCTION LLC,,201665.05,,714632.28,4332 HARRISON SCOTT DR,SFR-DET,201665.05,512967.23000000004,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00415,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGEVB/R-3,LM COX INC,,83982.9,,299431.28,5572 HORN RD,SFR-DET,83982.9,215448.38000000003,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00416,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Replacement of existing sunroom and repair to deck structural supports/VB/R-3,MCMAHON CONSTRUCTION,110000.0,0.0,,,2865 LOWER LINCOLN HILLS DR,,110000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00439,,BAARR -  Add/Alter/Remodel Residential,ADU,"2021 CODES/SFR/LEGALIZE ADU/VB/R-3/U
Property was purchased in 2015 as a house and a garage with a apartment above (according to MLS description it was previously rented and also used as an owner business later).  Upon looking into permits further it appears the garage was permitted as a ""garage with storage unit"".  This permit is to change the use from storage unit to ADU and to resolve any expired issues with the original permits.   Apartment is already finished (plumbed and wired) as well as garage is plumbed and wired but does not yet have any wall coverings.  I have talked with Engineering and understand the driveway approach and driveway to garage doors will need to paved and I have started making plans to have that project completed.  Attached is the original building permit as well as a current floor plan that shows the locations of the sinks (sinks where listed on the plumbing permit but never drawn on the plans).  Please contact me at the listed phone number or email if any further information is needed.",OWNER,12000.0,0.0,,,755 BURTON ST,ADU,12000.0,0.0,ADU,New Construction,99.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00441,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,SAPPHIRE CONSTRUCTION INC,,130579.59,,466036.56,820 ANGLERS BEND WAY,SFR-DET,130579.59,335456.97,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00464,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3,STRAIGHT LINE CONSTRUCTION INC,,200911.61,,718430.27,1002 COACHMAN WAY,SFR-DET,200911.61,517518.66000000003,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00467,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/REPAIR FIRE DAMAGE/VB/R-3,FIVE VALLEYS RESTORATION AND CLEANING LLC,90000.0,0.0,,,2635 WILLOW WOOD CT,,90000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00474,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/ADDITION/VB/R-3,OWNER,60000.0,0.0,,,1808 SOUTH AVE W,,60000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00482,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Replacing rear covered porch./VB/R-3,OWNER,10000.0,0.0,,,234 S 05TH ST W,,10000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00498,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Deck Replacement/VB/R-3,OWNER,20000.0,0.0,,,3500 DUNCAN DR,,20000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00511,,BRRRS - Reroof or Reside Residential,,"SFR / Remove existing tar roofing / install two layers 2.6"" PolyIso / 1/4"" Densdeck mechanically fastened / 60 mil tpo mechanically fastened / associated sheetmetal flashing / trim / sealant etc / remove debris / INSTALL ICE AN WATER SHIELD / INSTALL PER IRC AND LISTING / 0.25:12 / VB / R-3",MILLER ROOFING INC,42000.0,0.0,,,513 DIXON AVE,,42000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00518,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/VB/R-3,STRATFORD INC,,70218.51,,247823.1,5568 CATTLE DR,SFR-DET,70218.51,177604.59000000003,Single Dwelling Detached,New Construction,2.0,1,08 Data Dump,2023-08-01,August,08,2023,2024
06 - New Miscellaneous,2023-MSS-RES-00519,,BNRDG - New Detached Garage/Carport,,2021 CODES/NEW DET GARAGE/VB/U,STRATFORD INC,,6871.15,,26791.44,5568 CATTLE DR,SFR-DET,6871.15,19920.29,"Misc. (Garage, Shed, etc.)",New Construction,9.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00520,,BRRRS - Reroof or Reside Residential,,"2021 CODES/SFR/REROOF/tear off and remove all roofing materials. install arch shingles, synthetic underlayment, ice n water, ridge vent and cap/PER IRC & LISTING/SINGLE STORY/7:12/VB/R-3",RIVER CITY BUILDERS LLC,50000.0,0.0,,,2210 HILDA AVE,,50000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00534,,BAARR -  Add/Alter/Remodel Residential,ADU,"2021 CODES/LEGALIZE ADU IN BASEMENT/Change of Use Building Permit needed for unpermitted existing ADU/VB/R-3

THE EXISTING ADU LOCATED IN THE BASEMENT OF 700 EDITH ST IN MISSOULA, MT WAS DETERMINED TO BE UNPERMITTED. IT IS THE NEW OWNER'S DESIRE TO PERMIT THE EXISTING ADU IN IT'S CURRENT CONFIGURATION. THE ARCHITECT HAS TOURED THE PROPERTY AND DOCUMENTED THE ITEMS THAT WERE VISIBLE. THE ITEMS THAT ARE NOT VISIBLE (INSULATION IN WALL CAVITIES, FLOOR CONSTRUCTION) ARE UNKNOWN AND NOT DOCUMENTED. CURRENTLY, NO CONSTRUCTION CHANGES ARE PLANNED.",OWNER,1.0,0.0,,,700-A EDITH ST,ADU,1.0,0.0,ADU,New Construction,99.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00544,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/705 1/2 CLEVELAND/SFR/Repair of Deck. Removal of old deck boards, adding or replacing joists and supports as needed, new deck boards./VB/R-3",BOHEMIAN REMODELING,2662.74,0.0,,,705 CLEVELAND ST,,2662.74,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00569,,BRRRS - Reroof or Reside Residential,,"2021 CODES/SFR/REROOF/Remove existing roofing install TPO 75 mil white - excludes porch roof/PER IRC & LISTING/SINGLE STORY/1:12/VB/R-3 / OBSERVE LOW SLOPE REQUIREMENTS

INSTALL PER LISTING AND IRC.

REV 8/17/23 = APPLICANT WANTS TO LEAVE EXISTING TIN METAL ROOF AND APPLY TPO ON EXISTING  / INSULATION DENSDEX COMPRESSED FIBER GLASS BETWEEN METAL AND TPO",A & B ROOFING CO,21500.0,0.0,,,2222 LIVINGSTON AVE,,21500.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00575,,BRRRS - Reroof or Reside Residential,,SFR / demo old shingles / vents / drip edge / underlayment and replace with new / roof will receive new GAF tiger paw underlayment / ice and water shield at code required locations / proper ridge cap venting / Owens corning oak ridge shingle / algae resistant / white drip edge / new rubber based boots for plumbing vents / metal step flashing for around the chimney / INSTALL PER IRC AND LISTING / 5:12 / VB / R-3,GREENLADDER CONTRACTORS,28600.0,0.0,,,620 SIMONS DR,,28600.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00579,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/DET GARAGE/Structural upgrades required for installation of solar/VB/U,BIG SKY SOLAR,1000.0,0.0,,,346 STEPHENS AVE,,1000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00582,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Install egress window in basement bedroom/VB/R-3,TOM OF ALL TRADES LLC,5000.0,0.0,,,1038 CLEVELAND ST,,5000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00596,,BRRRS - Reroof or Reside Residential,,SFR / Remove existing shingles / Replace with synthetic underlayment / ice & water shield / GAF Timberline HDZ Shingles / INSTALL PER IRC AND LISTING / 8:12 / VB / R-3,FISHER FAMILY CONSTRUCTION,17185.0,0.0,,,4520 MARK CT,,17185.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00597,,BRRRS - Reroof or Reside Residential,,SFR / 3:12 / 1 COMP Layer / 1 Story SF Residential Re-Roof / R&R / Install synthetic underlayment / install 50 year shingle / ice & water shield / crv / INSTALL PER IRC AND LISTING / VB / R-3 / OBSERVE LOW SLOPE REQUIREMENTS,JARED LANGLEY ENTERPRISES INC,20000.0,0.0,,,639 W ARTEMOS DR,,20000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00598,,BRRRS - Reroof or Reside Residential,,SFR / 4.5:12 / 1 COMP Layer / 2 Story SF Residential Re-Roof / R&R / Install synthetic underlayment / install 50 year shingle / ice & water shield / crv / INSTALL PER IRC AND LISTING / VB / R-3,JARED LANGLEY ENTERPRISES INC,15000.0,0.0,,,2303 W VISTA DR,,15000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00600,,BRRRS - Reroof or Reside Residential,,"SFR / Remove & Replace 30# Felt / replace with 50-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IRC AND LISTING / 5:12 / VB / R-3",RHINO ROOFING,11000.0,0.0,,,1 RUSSELL PARK W,,11000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00601,,BRRRS - Reroof or Reside Residential,,SFR / tear off existing roofing shingles and underlayment / Install synthetic underlayment / install new shingles / INSTALL ICE AND WATER SHEILD / INSTALL PER IRC AND LISTING / 6:12 / VB / R-3,MERIDIAN CONSTRUCTION COMPANY,15000.0,0.0,,,5745 PROSPECT DR,,15000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00604,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Add insulation and Sheetrock to attached garage up to code./VB/R-3/U,OWNER,5000.0,0.0,,,4326 BORDEAUX BLVD,,5000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00605,,BRRRS - Reroof or Reside Residential,,SFR / Remove old shingles / Replace with new synthetic underlayment / ice & water shield / GAF Timberline HDZ Shingles / INSTALL PER IRC AND LISTING / 6:12 / VB / R-3,FISHER FAMILY CONSTRUCTION,8784.0,0.0,,,156 KENSINGTON AVE,,8784.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00609,,BRRRS - Reroof or Reside Residential,,SFR / 5:12 / 1-COMP Layer / 2 story residential re-roof / R&R / install synthetic underlayment / install 50 year shingle / ice & water shield / CRV / INSTALL PER IRC AND LISTING / VB / R-3,JARED LANGLEY ENTERPRISES INC,20000.0,0.0,,,1609 ANGELINA WAY,,20000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00619,,BRRRS - Reroof or Reside Residential,,SFR / Remove shingles / install new srip edge ice and water on eaves / starter course felt / new shingles / ridg vent and ridge cap / INSTALL PER IRC AND LISTING / 7:12 / VB / R-3,A & B ROOFING CO,15036.0,0.0,,,2795 MARY JANE BLVD,,15036.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00622,,BRRRS - Reroof or Reside Residential,,SFR / tear off removal of all old materials / install new Architel shingles / ridge cap / ridge vent / synthetic underlayment / ice n water / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3,SIMPLY THE BEST ROOFING,11000.0,0.0,,,1530 S 09TH ST W,,11000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00624,,BRRRS - Reroof or Reside Residential,,"SFR / Remove & Replace 30# Felt / replace with 30-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IRC AND LISTING / 7:12 / VB / R-3",RHINO ROOFING,18000.0,0.0,,,5116 PINTLAR MOUNTAIN CT,,18000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00627,,BRRRS - Reroof or Reside Residential,,"SFR / Remove old shingles, tar felt and cap / Replace with new architectural Owens Corning LL shingles / pipe jacks / synthetic underlayment / Add ice and water shield / Open ridge and install ridge vent / INSTALL PER IRC AND LISTING / 5:12 / VB / R-3",P R & R,9184.0,0.0,,,714 HOWELL ST,,9184.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
02 - Remodel Residential,2023-MSS-RES-00628,,BRRRS - Reroof or Reside Residential,,SFR / Homeowner 2nd layer reroof  / OLD ROOFING MATERIAL WILL NOT BE REMOVED / INSTALL SHINGLES /INSTALL PER MANUFACTURER SPECIFICATIONS/ INSTALL PER IRC AND LISTING / 6:12 / VB / R-3,OWNER,10000.0,0.0,,,5605 EBB WAY,,10000.0,0.0,Residential,Addition/Remodel,15.0,0,08 Data Dump,2023-08-01,August,08,2023,2024
