Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Property Type Order,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
02 - Remodel Residential,2023-MSS-RES-00233,,BAARR -  Add/Alter/Remodel Residential,ADU,2021 CODES/DET GARAGE/ADD ADU/VB/R-3/U,BBM CONSTRUCTION LLC,,17990.4,,64271.69,1727 STODDARD ST,ADU,17990.4,46281.29,ADU,New Construction,99.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00247,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/Bathroom remodel - Tub to Tub Conversion - Main Hall Bath - There are no changes to the layout.
Will replace wall surround in wet area; will put up greenboard behind acrylic panels.
Will check exterior walls for vapor barrier and proper insulation",YOUR HOME IMPROVEMENT COMPANY LLC,7000.0,0.0,,,3025 QUEEN ST,,7000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00250,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bathroom remodelVB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,8500.0,0.0,,,233 MCLEOD AVE,,8500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00253,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,SCARIANO CONSTRUCTION INC,,140631.1,,504264.48,304 SPANISH PEAKS DR,SFR-DET,140631.1,363633.38,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00280,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3,GARY NASH CONSTRUCTION INC,,82761.19,,296478.92,4497 HARRISON SCOTT DR,SFR-DET,82761.19,213717.72999999998,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00312,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Repairing and enlarging an existing deck in backyard./VB/R-3,OWNER,5000.0,0.0,,,2232 E SUMMIT DR,,5000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00314,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,GARY NASH CONSTRUCTION INC,,88581.33,,327166.8,4461 HARRISON SCOTT DR,SFR-DET,88581.33,238585.46999999997,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00327,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bathroom remodel/VB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,8000.0,0.0,,,53 BROOKSIDE,,8000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00330,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bahtroom remodel /VB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,8200.0,0.0,,,6640 LINDA VISTA BLVD,,8200.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00335,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bathroom remodel/VB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,17800.0,0.0,,,5701 MAINVIEW DR,,17800.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00359,,BRRRS - Reroof or Reside Residential,,"2021 CODES/SFR/REROOF/Remove existing roofing to bare decking, install new edge metal, install new underlayment including ice & water barrier on all eaves and valleys, install new limited lifetime architectural shingles, install new ridge vent and cap./PER IRC & LISTING/TWO STORY/10:12/VB/R-3",DERRICK G SMITH ROOFING LLC,18540.0,0.0,,,1331 BRIDGECOURT WAY,,18540.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00364,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Build new deck at front of house/VB/R-3,WILD WOOD CONSTRUCTION,24700.0,0.0,,,308 WHITAKER DR,,24700.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00379,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/Kitchen, Pantry and Laundry Remodel/VB/R-3",RIVER CITY BUILDERS LLC,257775.0,0.0,,,2775 WINDING TRAILS DR,,257775.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
06 - New Miscellaneous,2023-MSS-RES-00387,,BNRDA - New Detached Accessory Building,,2021 CODES/NEW SHED/Outdoor storage shed estimated at about 320 square feet. Set on a gravel pad./VB/U,OWNER,,5456.0,,14925.0,6225 SAINT THOMAS DR,,5456.0,9469.0,"Misc. (Garage, Shed, etc.)",New Construction,9.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
03 - New Single Family Residential,2023-MSS-RES-00399,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3,HAYDEN HOMES LLC,,82598.69,,296935.08,2544 BELT BUCKLE WAY,SFR-DET,82598.69,214336.39,Single Dwelling Detached,New Construction,2.0,1,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00417,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SHOP/Add bathroom to existing shop/storage building/Connect shop to the main sewer line/VB/U,DESIGN WEST BUILDERS CORPORATION,20000.0,0.0,,,7590 PEREGRINE CT,SFR-DET,20000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00423,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/INTERIOR REMODEL/VB/R-3,SUNRISE SRVICES LLC,20000.0,0.0,,,2110 BURLINGTON AVE,,20000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00424,,BRRRS - Reroof or Reside Residential,,SFR / Remove existing to roofing to bare decking / install new edge metal / install new underlayment including ice & water barrier on all eaves and valleys / install new pipe boots / install new limited lifetime architectural shingles / install new ridge vent and cap / INSTALL PER IRC AND LISTING / 5:12 / VB / R- 3,DERRICK G SMITH ROOFING LLC,6650.0,0.0,,,1609 MADELINE AVE,,6650.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00428,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Bathroom remodel/VB/R-3,YOUR HOME IMPROVEMENT COMPANY LLC,8600.0,0.0,,,2406 MCINTOSH LP,,8600.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00434,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Installation of egress window,FULL CURL ENTERPRISES LLC,3500.0,0.0,,,2110 38TH ST,,3500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00451,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/BASEMENT FINISH/VB/R-3,RANGE WEST CONSTRUCTION LLC,60000.0,0.0,,,2615 ARCADIA DR,,60000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00479,,BRRRS - Reroof or Reside Residential,,"Replace roof> Repair any roof sheeting and I will be installing ice and water shield, We are using 30-year synthetic felt and 40 year asphalt shingles / REPLACE ICE AND WATER SHIELD / SYNTHETIC UNDERLAYMENT / SHINGLES PER IRC AND LISTING/ 6:12 VB/ R3",OWNER,8200.0,0.0,,,2730 RATTLESNAKE DR,,8200.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00484,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/EGRESS WINDOW/VB/R-3/VB/R-3,OWNER,700.0,0.0,,,715 POPLAR ST,,700.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00493,,BRRRS - Reroof or Reside Residential,,SFR / Remove shingles / install new drip edge ice and water on eaves / starter course felt / new ASPHALT shingles/ ridge vent and ridge cap / 3:12 & 11:12 / OBSERVE LOW SLOPE REQUIREMENTS / VB / R-3,A & B ROOFING CO,17680.0,0.0,,,702 N 03RD ST W,,17680.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00494,,BRRRS - Reroof or Reside Residential,,DETACHED GARAGE / Remove shingles / install new drip edge / ice and water on eaves / new starter course felt / new ASPHALT shingles / ridge vent and ridge cap /TPO 60 mill or rolled roofing on 1:12 / 7:12 / OBSERVE LOW SLOPE REQUIREMENTS / VB / U,A & B ROOFING CO,7070.0,0.0,,,702 N 03RD ST W,,7070.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00507,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/INTERIOR REMODEL/VB/R-3,HAYWOOD CONSTRUCTION,230000.0,0.0,,,410 W ARTEMOS DR,,230000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00508,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Reevaluaton of new rear deck that was sub-contracted with sub not pulling proper permit. *Please see attachment by Engineer verifying structural integrity of deck. Included as well PDF with drawn up plans for structual design. *Basic plans as discussed with Cristina for deck permit./VB/R-3,OWNER,6000.0,0.0,,,715 POPLAR ST,,6000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00510,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Repair the attached garage roof structure during the shingle replacement on the home. The existing rafters will be removed on the garage portion due to sag and trusses will be set and sheathed. The reroof permit will be pulled by the contractor prior to starting the reroof./VB/U,OWNER,6500.0,0.0,,,1200 EATON ST,,6500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00512,,BRRRS - Reroof or Reside Residential,,SFR / REMOVE EXISTING FELT AND SHINGLE / Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IRC AND LISTING / 8:12,RHINO ROOFING,20000.0,0.0,,,1549 CORNERSTONE DR,,20000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00514,,BRRRS - Reroof or Reside Residential,,"2021 CODES/SFR/REROOF/tear and remove all old roofing materials. install architucual shingles, synthetic underlayment, ice n water, ridge vent and cap/PER IRC & LISTING/SINGLE STORY/7:12/VB/R-3",SIMPLY THE BEST ROOFING,11250.0,0.0,,,1122 CATLIN ST,,11250.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00515,,BRRRS - Reroof or Reside Residential,,SFR / Tear off existing roofing / install GRACE ICE AND WATER SHIELD UNDERLAYMENT / install new rubber grommets on vent tubes / INSTALL OWENS CORNING LAMINATE ARCHITECTURAL ROOFING SHINGLES / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3,OWNER,3000.0,0.0,,,200 WHITAKER DR,,3000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00521,,BRRRS - Reroof or Reside Residential,,2021 CODES/SFR/REROOF / 7:12 / 1 - Arch layer / 1-2 stories / SF residential reroof / R&R / install synthetic underlayment / install 50-year singles / ice and water shield / CRV/PER IRC & LISTING/VB/R-3,JARED LANGLEY ENTERPRISES INC,30000.0,0.0,,,5605 KRISTIN LN,,30000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00522,,BRRRS - Reroof or Reside Residential,,"2021 CODES/SFR/REROOF/Remove & Replace 30# Felt, replace with 30-Year, Malarkey Shingle.
Malarkey #1030 Synthetic underlayment, Malarkey Artic ice & Water Shield./PER ICR & LISTING/SINGLE STORY/5:12/VB/R-3",RHINO ROOFING,7000.0,0.0,,,2247 S 09TH ST W,,7000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00523,,BRRRS - Reroof or Reside Residential,,2021 CODES/SFR/REROOF/Existing roof to be removed/Ice & water to be applied/platinum synthetic underlayment/Re-roof main roof and porches by owner.  6/12 7 2/12 pitches.  Owens Corning 30 year architectural shingles./PER IRC & LISTING/SINGLE STORY/VB/R-3,OWNER,2600.0,0.0,,,521 E FLORENCE ST,,2600.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00524,,BRRRS - Reroof or Reside Residential,,"2021 CODES/SFR/Replacing old siding with taped 2” XPS insulation and new LP Smartside lap siding./TWO STORY/VB/R-3

Install per listing and IRC. Provide flashing per IRC R703.4",OWNER,3000.0,0.0,,,1123 BUTTE ST,,3000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00525,,BAARR -  Add/Alter/Remodel Residential,,"2021 CODES/SFR/Fire damaged home, affected materials removed down to framing. Replace affected materials along with windows./VB/R-3",DAYSPRING RESTORATION INC,33000.0,0.0,,,2465 ERNEST AVE,,33000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00527,,BRRRS - Reroof or Reside Residential,,SFR / Remove and replace shingled roof / Install WeatherWatch ice and water shield / synthetic under lament . metal in valleys / GAF Timberline shingles / INSTALL PER IRC AND LISTING / 7:12 / VB / R-3,CLW CONSTRUCTION LLC,12300.0,0.0,,,339 PLYMOUTH ST,,12300.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00528,,BRRRS - Reroof or Reside Residential,,SFR / tear off existing roofing / install new SYNTHETIC underlayment and asphalt shingles / INSTALL ICE AND WATER SHIELD / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3,MERIDIAN CONSTRUCTION COMPANY,10500.0,0.0,,,2327 BRIGGS ST,,10500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00530,,BRRRS - Reroof or Reside Residential,,SFR / Remove old roofing / Install synthetic underlayment / Install ice and water shield / Install Malarkey Vista shingles / Install edge metal Install ridge vent / INSTALL PER IRC AND LISTING / 4:12 / VB / R3,IVANS ROOFING AND CONSTRUCTION LLC,16780.0,0.0,,,1211 PINEVIEW DR,,16780.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00531,,BRRRS - Reroof or Reside Residential,,GARAGE / remove old roofing / Install synthetic underlayment / ice and water shield / edge metal / install per IRC and Listing / 4..12 / VB / U,IVANS ROOFING AND CONSTRUCTION LLC,900.0,0.0,,,1211 PINEVIEW DR,,900.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00533,,BRRRS - Reroof or Reside Residential,,GARAGE / REMOVING EXISTING ROOF / APPLY ICE AND WATER SHIELD FOR THE FIRST FOUR FEET AND THE REMAINDING ROOF FELT UNDERLAYMENT / APPLY ARCHITECHTURAL SHINGLES / 8:12 / VB / U,OWNER,4000.0,0.0,,,602 RIVER ST,,4000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00535,,BRRRS - Reroof or Reside Residential,,SFR / Remove shingles / install new drip edge ice and water on eaves / starter course felt / new shingles / ridge vent and ridge cap / Install per IRC and Listing / 5..12 / VB / R-3,A & B ROOFING CO,16200.0,0.0,,,3941 ENGLAND BLVD,,16200.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00536,,BRRRS - Reroof or Reside Residential,,"SFR / RESIDING / Strip and replace roof, fascia soffit, gutters / REMOVE EXISTING / ICE AND WATER SHIELD / SYNTHETIC UNDERLAYMENT / SHINGLES / INSTALL PER IRC AND LISTING / 4:12 / VB / R3",PARKER CONSTRUCTION,14000.0,0.0,,,628 BENTON AVE,,14000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00537,,BRRRS - Reroof or Reside Residential,,"SFR / Remove & Replace / 30# Felt / replace with 40-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield / INSTALL PER IRC AND LISTING / 5:12 / VB / R3",RHINO ROOFING,15000.0,0.0,,,2406 GARLAND DR,,15000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00541,,BRRRS - Reroof or Reside Residential,,SFR / Remove top layer of TPO / leave in place existing ISO insulation board and recovery board / Install 60MIL TPO. Mechanically Attach / Install 24 Gauge TPO Coated perimeter metal at edge / INSTALL ICE AND WATER SHIELD / INSTALL PER IRC AND LISTING / 1:12 / VB / R-3,INDEPENDENT ROOFING LLC,13000.0,0.0,,,126 TAHOE DR,,13000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00542,,BRRRS - Reroof or Reside Residential,,"SFR / REMOVE EXISTING ROOFING / Remove & Replace 30# Felt, replace with 30-Year, Malarkey Shingle / Malarkey #1030 Synthetic underlayment / Malarkey Artic ice & Water Shield INSTALL PER IRC AND LISTING / 3:12 / OBSERVE LOW SLOPE REQUIREMENTS / VB / R-3",RHINO ROOFING,7000.0,0.0,,,2435 MOUNT AVE,,7000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00547,,BRRRS - Reroof or Reside Residential,,SFR / Remove existing roof  / install Ice and Water Shield per code or better / synthetic underlayment on remaining surface / install asphalt laminate shingles / install continuous ridge venting / INSTALL PER IRC AND LISTING / 3:12 / VB / R-3 / OBSERVE LOW SLOPE REQUIREMENTS,DUNN WRIGHT ROOFING AND REMODEL LLC,8855.0,0.0,,,2425 SKYLINE DR,,8855.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00548,,BRRRS - Reroof or Reside Residential,,SFR / removing existing roof / applying synthetic paper/ installing architectural shingles / INSTALL ICE AND WATER SHIELD / INSTALL PER IRC AND LISTING / 9:12 / VB / R-3,ZEEK’S ROOFING LLC,9100.0,0.0,,,1137 SHERWOOD ST,,9100.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00549,,BRRRS - Reroof or Reside Residential,,SFR / Remove existing roofing materials / resheet if necessary / Replace materials with new synthetic underlayment / GAF asphalt shingles / Remove debris / INSTALL ICE AND WATER SHIELD / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3,REVE EXTERIORS LLC,6346.0,0.0,,,2239 42ND ST,,6346.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00552,,BRRRS - Reroof or Reside Residential,,SFR / Removing 24 squares shingles / replace the underlayment with synthetic felt underlayment / installing shingles / INSTALL ICE AND WATER SHIELD IF NEEDED / INSTALL PER IRC AND LISITING / 4:12 / VB / R-3,"INFINITY ROOFING & SIDING, LLC",17099.46,0.0,,,425 WHITAKER DR,,17099.46,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00553,,BRRRS - Reroof or Reside Residential,,SFR / Remove existing shingles and underlayment / Install ice/water and synthetic underlayment per code / Install asphalt shingles per code / INSTALL PER IRC AND LISTING / 6:12 / VB / R-3,MIGHTY DOG ROOFING 157,12000.0,0.0,,,6721 KELSEY CT,,12000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00555,,BAARR -  Add/Alter/Remodel Residential,,2021 CODES/SFR/Enlarging opening between kitchen and living room./VB/R-3,SCARIANO CONSTRUCTION INC,5000.0,0.0,,,1625 BEL-VUE DR,,5000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00558,,BRRRS - Reroof or Reside Residential,,SFR / Remove existing roofing / install new TPO 60 mil / INSTALL ICE AND WATER SHIELD / INSTALL PER IRC AND LISTING / 1:12 / VB / R-3,A & B ROOFING CO,28500.0,0.0,,,2610 VALLEY VIEW DR,,28500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00560,,BRRRS - Reroof or Reside Residential,,SFR / remove shingles / install new drip edge ice and water on eaves / new starter course felt / new shingles / ridge vent and ridge cap / INSTALL PER IRC AND LISTING / 4:12 / 10:12 / VB / R-3,A & B ROOFING CO,23450.0,0.0,,,728 CLEVELAND ST,,23450.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00561,,BRRRS - Reroof or Reside Residential,,SFR / Remove shingles / install new drip edge ice and water on eaves / new starter course felt / new shingles / ridge vent and ridge cap / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3,A & B ROOFING CO,13225.0,0.0,,,6 ROSEBUD LN,,13225.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00562,,BRRRS - Reroof or Reside Residential,,SFR / Remove existing shingles and underlayment /  apply new synthetic underlayment and new shingles / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3,OWNER,2500.0,0.0,,,2409 HIGHWOOD DR,,2500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00563,,BRRRS - Reroof or Reside Residential,,SFR / Remove shingles / install new drip edge ice and water on eaves starter course felt / new shingles / ridge vent aND RIDGE CAP on back side of roof only / INSTALL PER IRC AND LISTING / 3:12  AND 5:12 / VB / R-3 OBSERVE LOW SLOPE REQUIREMENTS,A & B ROOFING CO,3700.0,0.0,,,801 MARSHALL ST,,3700.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00564,,BRRRS - Reroof or Reside Residential,,"SFR / REMOVE EXISTING ROOFING MATERIAL / 3:12 / 1-COMP Layer / 1 story / install synthetic underlayment / install 50 year shingle / ice & water shield / CRV

Double underlayment (half lap) required for shingles installed on pitches less than 4:12. Install per listing and IRC",JARED LANGLEY ENTERPRISES INC,20000.0,0.0,,,4308 23RD AVE,,20000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00567,,BRRRS - Reroof or Reside Residential,,SFR / Take off old shingles / put new 30 year malarkey nex / synthetic layment / ice&water per code / INSTALL PER IRC AND LISTING / 8:12 / VB / R-3,NEW HORIZONS ROOFING LLC,12500.0,0.0,,,6771 KELSEY CT,,12500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00568,,BRRRS - Reroof or Reside Residential,,SFR / remove old roofing / install ice & water shield / install GAF Tigerpaw underlayment / install GAF Timberline HDz architectural shingles / INSTALL PER IRC AND LISTING / 7:12 / VB / R-3,ABOVE THE REST ROOFING,18500.0,0.0,,,1032 HARRISON ST,,18500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00569,,BRRRS - Reroof or Reside Residential,,"2021 CODES/SFR/REROOF/Remove existing roofing install TPO 75 mil white - excludes porch roof/PER IRC & LISTING/SINGLE STORY/1:12/VB/R-3

INSTALL PER LISTING AND IRC.",A & B ROOFING CO,21500.0,0.0,,,2222 LIVINGSTON AVE,,21500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00570,,BRRRS - Reroof or Reside Residential,,2021 CODES/SFR/REROOF/Remove shingles install new drip edge ice and water on eaves new starter course felt new shingles ridge vent and ridge cap/PER IRC & LISTING/TWO STORY/4:12/VB/R-3,A & B ROOFING CO,11500.0,0.0,,,2307 42ND ST,,11500.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00572,,BRRRS - Reroof or Reside Residential,,SFR / Remove existing shingles and underlayment / Install ice/water and synthetic underlayment per code / Install asphalt shingles per code / INSTALL PER IRC AND LISTING / 4:12 / VB / R-3,MIGHTY DOG ROOFING 157,9000.0,0.0,,,3429 LLOYD CT,,9000.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
02 - Remodel Residential,2023-MSS-RES-00576,,BRRRS - Reroof or Reside Residential,,DUPLEX / Residents roof redo / REMOVE EXISTING MATERIAL/ SYTHENTIC UNDERLAYMENT AND SHINGLES /  INSTALL PER IRC AND LISTING / INSTALL ICE AND WATER SHIELD / 4:12 / VB / R-3,ZEEK’S ROOFING LLC,6600.0,0.0,,,1210 A&B S GRANT ST,,6600.0,0.0,Residential,Addition/Remodel,15.0,0,07 Data Dump,2023-07-01,July,07,2023,2024
